reporting_date|reporting_date_period_type|hierarchy_name|business_key1|business_key2|business_key3|business_key4|business_area|node_id_level1|node_name_level1|node_id_level2|node_name_level2|node_id_level3|node_name_level3|node_id_level4|node_name_level4|node_id_level5|node_name_level5|node_id_level6|node_name_level6|node_id_level7|node_name_level7|node_id_level8|node_name_level8|node_id_level9|node_name_level9
2017-05-30|1|Meijer Product Style Hierarchy|3877840||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS PERF GO RUN|SKECHERS PERF GO RUN 400||||
2017-05-30|1|Meijer Product Style Hierarchy|3902187||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012101|CANVAS CASUALS|KEDS CRAZE T TOE LTH|KEDS CRAZE T TOE LTHR||||
2017-05-30|1|Meijer Product Style Hierarchy|3902191||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012101|CANVAS CASUALS|KEDS CRAZE T TOE LTH|KEDS CRAZE T TOE LTHR||||
2017-05-30|1|Meijer Product Style Hierarchy|3903539||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006601|SCARVES COLDWEATHER WMNS|MASSINI SUPER SOFT C|MASSINI SUPER SOFT COWL||||
2017-05-30|1|Meijer Product Style Hierarchy|3903543||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006600|MITTENS COLDWEATHER WMNS|MASSINI SUPER SOFT M|MASSINI SUPER SOFT MITTEN||||
2017-05-30|1|Meijer Product Style Hierarchy|3903563||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006601|SCARVES COLDWEATHER WMNS|MASSINI SPACE DYE LO|MASSINI SPACE DYE LOOP||||
2017-05-30|1|Meijer Product Style Hierarchy|3903575||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006601|SCARVES COLDWEATHER WMNS|MASSINI SPACE DYE LO|MASSINI SPACE DYE LOOP||||
2017-05-30|1|Meijer Product Style Hierarchy|3903579||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006598|HATS COLDWEATHER WMNS|MASSINI SPACE DYE HA|MASSINI SPACE DYE HAT||||
2017-05-30|1|Meijer Product Style Hierarchy|3903583||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006597|GLOVES COLDWEATHER WMNS|MASSINI SPACE DYE GL|MASSINI SPACE DYE GLOVE||||
2017-05-30|1|Meijer Product Style Hierarchy|3904880||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006598|HATS COLDWEATHER WMNS|MASSINI MIXED MEDIA |MASSINI MIXED MEDIA HAT||||
2017-05-30|1|Meijer Product Style Hierarchy|3904884||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006598|HATS COLDWEATHER WMNS|MASSINI MIXED MEDIA |MASSINI MIXED MEDIA HAT||||
2017-05-30|1|Meijer Product Style Hierarchy|3904888||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006601|SCARVES COLDWEATHER WMNS|MASSINI MIXED MEDIA |MASSINI MIXED MEDIA LOOP||||
2017-05-30|1|Meijer Product Style Hierarchy|3905056||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-010779|HEADBANDS COLDWEATHER WOMENS|MTA ACTIVE HEADBAND|MTA ACTIVE HEADBAND||||
2017-05-30|1|Meijer Product Style Hierarchy|3905060||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006597|GLOVES COLDWEATHER WMNS|MTA ACTIVE GLOVE|MTA ACTIVE GLOVE||||
2017-05-30|1|Meijer Product Style Hierarchy|3905064||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006598|HATS COLDWEATHER WMNS|MTA ACTIVE BEANIE|MTA ACTIVE BEANIE||||
2017-05-30|1|Meijer Product Style Hierarchy|3905068||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000440|FASHION ACCESSORIES|L3-001822|WOMENS COLDWEATHER WEAR|L2-006598|HATS COLDWEATHER WMNS|MTA ACTIVE BEANIE|MTA ACTIVE BEANIE||||
